description,latitude,created,longitude,__CLASS__,adref,salary_min,redirect_url,id,salary_is_predicted,title,salary_max,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"System Freight is seeking a safety-focused CDL-A Local Driver to join our regional, family-oriented trucking team. In this role, you’ll haul time-sensitive, high-volume freight for dedicated accounts across the Northeast and Mid-Atlantic, operating late-model equipment on consistent local and regional routes. Responsibilities include safe pickup and delivery, accurate logs, vehicle inspections, and on-time performance while providing professional customer service. Enjoy stable, long-term employ…",43.14888,2026-08-09T09:38:42Z,-76.21488,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDg2In0.CrHdNUZ5PRbuijueIFdkLe2GDMN45KvR9CfiP5t-uRg,62000.0,https://www.adzuna.com/land/ad/5834699486?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=CAD5DAA623B2D7AB449831D4DF92F9B33860AC85,5834699486,0,CDL-A Local Driver,75000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Onondaga County', 'Dominion Park']",Adzuna::API::Response::Location,"Dominion Park, Onondaga County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",42.996891,2026-08-09T09:38:11Z,-78.194305,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDgxIn0.fmsHSZG_hdgAqM1odbIIwPQu1QSADSjnkmaZjzrQT_I,70000.0,https://www.adzuna.com/land/ad/5834699481?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=56893A3B2EC8AEF24BCF5B9002C23AB79A57496D,5834699481,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Genesee County', 'Batavia']",Adzuna::API::Response::Location,"Batavia, Genesee County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"SYSTEM FREIGHT is seeking a CDL-A Local Driver based in Milford, NJ. In this role, you’ll handle regional, time-sensitive freight with daily or frequent home time. Responsibilities include safe and timely pickup and delivery, operating late-model equipment, completing logs and inspections, and following DOT and company safety standards. You’ll work with dedicated accounts, steady year-round freight, and a family-oriented team that values professionalism, reliability, and respect. Enjoy competit…",40.69818,2026-08-09T09:38:03Z,-75.13548,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ3OCIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.37S-B55y33IAbSUlRdqrFgmZEFf56gNpgycd5Pav_RY,64000.0,https://www.adzuna.com/land/ad/5834699478?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=219475DC2CA676B85626C3325A57DAE270EB92E2,5834699478,0,CDL-A Local Driver,76000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Warren County', 'Stewartsville']",Adzuna::API::Response::Location,"Stewartsville, Warren County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a CDL A Local Driver based in Piscataway, NJ to handle daily pickup and delivery of time-sensitive, high-volume freight across the Northeast corridor. In this field-based role, you will operate late-model equipment on dedicated, regional routes with consistent home time. Responsibilities include safe vehicle operation, pre- and post-trip inspections, accurate logging, and strict adherence to DOT and company safety standards. As part of a family-oriented, safety-focused…",40.706835,2026-08-09T09:37:39Z,-74.724126,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ3NCIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.hy7RQ0gu3iEDSKsO_h6pG56tRNZKVxRb-5XtDdj0ko4,68000.0,https://www.adzuna.com/land/ad/5834699474?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=D994A82D6D1455135693055D1BC4F3078A8205E2,5834699474,0,CDL A Local Driver,84000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Somerset County', 'Gladstone']",Adzuna::API::Response::Location,"Gladstone, Somerset County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"Safelite is hiring an Auto Glass Installation Technician Trainee to learn professional vehicle glass repair, replacement, and calibration support in the Transportation & Warehousing industry. In this hands-on, field-based role, you’ll assist experienced technicians with safely removing and installing windshields and other auto glass, preparing vehicles, and supporting advanced driver-assistance system (ADAS) calibrations. You’ll deliver friendly, caring customer service at shops and mobile loca…",40.28568,2026-08-09T09:36:56Z,-75.29568,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ2MSIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.dAxpWKg4HZxIj0GR1t9ntwCuq7rkrClWGAElWl-VwBM,46000.0,https://www.adzuna.com/land/ad/5834699461?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=1E5C2783778F36FB4462EBEA4B4874D43D49BFD4,5834699461,0,Auto Glass Installation Technician Trainee,54000.0,Adzuna::API::Response::Company,Safelite,"['US', 'Pennsylvania', 'Montgomery County', 'Hatfield']",Adzuna::API::Response::Location,"Hatfield, Montgomery County",maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",43.086899,2026-08-09T09:36:14Z,-78.157503,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ0MyIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.NvnuwWWb5KF1u-zZ1IMgPukAKfMtxa9Ro1NBhA_98Kw,70000.0,https://www.adzuna.com/land/ad/5834699443?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=73431829F7D953658D358B36762B37F32BC9F648,5834699443,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Genesee County', 'Elba']",Adzuna::API::Response::Location,"Elba, Genesee County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",40.725065,2026-08-09T09:36:13Z,-74.230898,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ0MiIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.8lniOgTRVdRYyKRicgHbCYHFVQwbWpf4VVI9Ne7_MyE,70000.0,https://www.adzuna.com/land/ad/5834699442?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=DACCD6A032C368873415979CBD9BE31F261EB7A3,5834699442,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Essex County', 'Irvington']",Adzuna::API::Response::Location,"Irvington, Essex County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",42.719481,2026-08-09T09:36:07Z,-78.934109,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDM4In0.veFfnfbjIIqshUyBzNgujxyGE-zSCPZAlDRSPphICaU,70000.0,https://www.adzuna.com/land/ad/5834699438?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=475E0A0050E0E9027D802C1451FDEB66C7DA5A40,5834699438,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Erie County', 'Lake View']",Adzuna::API::Response::Location,"Lake View, Erie County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",40.487836,2026-08-09T09:36:02Z,-74.449448,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDM2In0._6ml09oUK_ws2VIbjCzzwa5kWTqegjjzZcKoqMA-p4Q,70000.0,https://www.adzuna.com/land/ad/5834699436?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=F164DD663448684FFA87F4B9402062AB5ACD5D1B,5834699436,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Middlesex County', 'New Brunswick']",Adzuna::API::Response::Location,"New Brunswick, Middlesex County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused CDL-A Local Driver to join our regional, family-oriented trucking team. In this role, you’ll haul time-sensitive, high-volume freight for dedicated accounts across the Northeast and Mid-Atlantic, operating late-model equipment on consistent local and regional routes. Responsibilities include safe pickup and delivery, accurate logs, vehicle inspections, and on-time performance while providing professional customer service. Enjoy stable, long-term employ…",43.027734,2026-08-09T09:36:01Z,-76.011931,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQzNSIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.u4ThecfKZCYUa37pGXiAh2VG4-mLi3TUj47wVnA-xCI,62000.0,https://www.adzuna.com/land/ad/5834699435?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=A75594D90B6CDA97AC03CF61EEB006FAB8D86366,5834699435,0,CDL-A Local Driver,75000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Onondaga County', 'Fayetteville']",Adzuna::API::Response::Location,"Fayetteville, Onondaga County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",42.699608,2026-08-09T09:35:45Z,-73.899826,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQzNCIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.53qiCqhDLeEc2GkuLxOfDKiypcy3LJ_snkHMr3Z55lc,70000.0,https://www.adzuna.com/land/ad/5834699434?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=A24D8F319F0058FEA9B20B93C650755B32F4B772,5834699434,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Albany County', 'Guilderland']",Adzuna::API::Response::Location,"Guilderland, Albany County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",42.995541,2026-08-09T09:35:40Z,-78.315699,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDMzIn0.rYIPHG1qmDKO7op2xFRewkel1uUr2CAx_JgohTD4Wak,70000.0,https://www.adzuna.com/land/ad/5834699433?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=B40676385FDEC7EC9B43741F08796ADC5193CB79,5834699433,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Genesee County', 'East Pembroke']",Adzuna::API::Response::Location,"East Pembroke, Genesee County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight, Inc., a family-oriented regional carrier, is hiring CDL-A Local Drivers in Hazleton, PA. Drive late-model equipment hauling time-sensitive, high-volume regional freight for dedicated customers across the Northeast and Mid-Atlantic. Home daily with stable, year-round freight and predictable schedules. Responsibilities include safe, on-time pickups and deliveries, accurate logs and paperwork, and adherence to DOT and company safety standards. Enjoy competitive pay, strong support …",41.031884,2026-08-09T09:35:32Z,-75.980015,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTM2NSIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.1wKOjfpk0HWHCfVZQZ2YddUpCq9EM2qNE4dbd3Cxb2k,66000.0,https://www.adzuna.com/land/ad/5834699365?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=7B65275E57993FA88599864CF1AD797F781D61DD,5834699365,0,CDL-A Local Driver,82000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'Pennsylvania', 'Luzerne County', 'Drums']",Adzuna::API::Response::Location,"Drums, Luzerne County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
