description,created,__CLASS__,id,salary_is_predicted,title,latitude,salary_max,adref,redirect_url,salary_min,longitude,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"American Traveler is seeking a travel CT Technologist for a travel job in Minneapolis, Minnesota. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: 09/21/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 5x8hrs Hours: 40 hrs/wk Start Date: Sep 21, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring a CT Technologist for a night-shift role in …",2026-09-08T13:01:47Z,Adzuna::API::Response::Job,5875785926,0,"Travel CT Tech - $2,872 per week",44.9462,149344.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTI2In0.3PAk1c-zxA3YbNirLdMXlVXPoqekc6rNoMQDOBwH1XY,https://www.adzuna.com/land/ad/5875785926?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=B8C4CDAEB825648FFB52A5C522D3F6CA564DE71F,0.0,-93.2,"['US', 'Minnesota', 'Ramsey County', 'Lauderdale']","Lauderdale, Ramsey County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Cross Country Nurses is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Ottumwa, Iowa. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 09/14/2026 Duration: 13 weeks 48 hours per week Shift: 12 hours, days Employment Type: Travel Cross Country Nurses has more of the travel jobs that you want. If this position isn't right for you don't worry about it. We have new and exciting assignments coming in every day, in fantast…",2026-09-08T13:01:47Z,Adzuna::API::Response::Job,5875785925,0,"Travel Emergency Room RN - $2,160 per week",41.05944,112320.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkyNSIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.6vgn1EAnytp7INAP8nZZBI8nGXRBiQAoBrDUm7CA9Bk,https://www.adzuna.com/land/ad/5875785925?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=36E5E5DC9AC56F8BB6693A0291704AE6A4FE867E,0.0,-92.41296,"['US', 'Iowa', 'Wapello County', 'Rutledge']","Rutledge, Wapello County",Adzuna::API::Response::Location,Cross Country Nurses,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN Med Surg for a travel nursing job in Columbia, Missouri. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 09/28/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Assignment Overview Shift: Days, 3x12hrs Hours: 36 hrs/wk Start Date: Sep 28, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking a Med/Surg RN for a 13-week day shift assignment requiring at least 1.…",2026-09-08T13:01:47Z,Adzuna::API::Response::Job,5875785928,0,"Travel Medical Surgical RN - $2,074 per week",38.932251,107848.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTI4In0.o2jOio1up_buzzhpklXlr5iwudVqA5lf6eUhoT6bLJg,https://www.adzuna.com/land/ad/5875785928?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=D7419983FB56F30361C62AFBEB0191345F901169,0.0,-92.302776,"['US', 'Missouri', 'Boone County', 'Pierpont']","Pierpont, Boone County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Sacramento, California. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 09/28/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, evenings Employment Type: Travel Assignment Overview Shift: Evenings, 3x12hrs Hours: 36 hrs/wk Start Date: Sep 28, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring an experienced RN for an …",2026-09-08T13:01:46Z,Adzuna::API::Response::Job,5875785924,0,"Travel ER RN - $2,113 per week",38.484098,109876.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTI0In0._xzHPyVC8xv0gBpuYgN7qhMZnktOXx2IZXAu9mVQNX4,https://www.adzuna.com/land/ad/5875785924?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=B9B8281EAEA44218A53FB4E80C58DB5E5C4A1748,0.0,-121.398884,"['US', 'California', 'Sacramento County', 'Florin']","Florin, Sacramento County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel CT Technologist for a travel job in Minneapolis, Minnesota. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: 09/21/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, evenings Employment Type: Travel Assignment Overview Shift: Evenings, 5x8hrs Hours: 40 hrs/wk Start Date: Sep 21, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring a CT Technologist for a Level III Trauma…",2026-09-08T13:01:46Z,Adzuna::API::Response::Job,5875785922,0,"Travel CT Tech - $2,872 per week",44.9462,149344.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkyMiIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.lbhboU7n8zbBWEMreP3cRx8PTY9homczMJ9vTLaDJAM,https://www.adzuna.com/land/ad/5875785922?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=49C7C9B8D226247B931FF8642016E5AC8FD239E2,0.0,-93.2,"['US', 'Minnesota', 'Ramsey County', 'Lauderdale']","Lauderdale, Ramsey County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Chewelah, Washington. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 10/05/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Oct 5, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring a Med/Surg Tele RN for a night shift assig…",2026-09-08T13:01:46Z,Adzuna::API::Response::Job,5875785920,0,"Travel MS/Tele RN - $2,038 per week",48.277424,105976.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTIwIn0.Si2cuiCGlepYR2fDJvYIs0NWB4vki7QdZfCPKIGgyuQ,https://www.adzuna.com/land/ad/5875785920?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=A4075D066B3F2C0A1FA6C8CEBAF8E775A2ED9149,0.0,-117.727766,"['US', 'Washington', 'Stevens County', 'Chewelah']","Chewelah, Stevens County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN Labor and Delivery for a travel nursing job in Santa Rosa, California. Job Description & Requirements Specialty: Labor and Delivery Discipline: RN Start Date: 12/02/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Assignment Overview Shift: Days, 3x12hrs Hours: 36 hrs/wk Start Date: Dec 2, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring an experienced Labor & Delivery RN for a 12-week…",2026-09-08T13:01:45Z,Adzuna::API::Response::Job,5875785915,0,"Travel Labor & Delivery RN - $3,367 per week",38.470004,175084.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkxNSIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.wy8gZY0mLmr94rQl06pcA9Diu3uZjpiw2zrl5nJ5r-A,https://www.adzuna.com/land/ad/5875785915?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=533B596DBCA1E81A02AEAC5C636255360A9A5A88,0.0,-122.606705,"['US', 'California', 'Sonoma County', 'Kenwood']","Kenwood, Sonoma County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,travel-jobs,Adzuna::API::Response::Category,Travel Jobs,,
"LanceSoft is seeking a travel nurse RN OR - Operating Room for a travel nursing job in San Pedro, California. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 10/05/2026 Duration: 18 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel LanceSoft Job ID j978m2tbphe7bhw1gqd1tbff258e0snq. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN OR…",2026-09-08T13:01:45Z,Adzuna::API::Response::Job,5875785917,0,"Travel Nurse RN - OR - Operating Room - $3,500 per week",33.741717,182000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTE3In0.Cdi9wnK32YtyiZqLXxXYi5kI38PBJzCn0LjnHOMm67I,https://www.adzuna.com/land/ad/5875785917?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=3378B7C968B3FE38809E03485C64090F60E6BBEA,0.0,-118.310318,"['US', 'California', 'Los Angeles County', 'San Pedro']","San Pedro, Los Angeles County",Adzuna::API::Response::Location,LanceSoft,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN Labor and Delivery for a travel nursing job in Santa Rosa, California. Job Description & Requirements Specialty: Labor and Delivery Discipline: RN Start Date: 12/02/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Assignment Overview Shift: Days, 3x12hrs Hours: 36 hrs/wk Start Date: Dec 2, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring an experienced Labor & Delivery RN for a 12-week…",2026-09-08T13:01:45Z,Adzuna::API::Response::Job,5875785913,0,"Travel Labor & Delivery RN - $3,367 per week",38.470004,175084.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkxMyIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.VkWJJAZPLiH2VMAvImcCv2lFaIBOifWOOQGxEmSFNZI,https://www.adzuna.com/land/ad/5875785913?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=2827307134D7E998C28192F6FB39690CCE5BDEDF,0.0,-122.606705,"['US', 'California', 'Sonoma County', 'Kenwood']","Kenwood, Sonoma County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"If you are a passionate, curious individual who is enthusiastic about evaluating the effectiveness of controls across different areas of global business, operations and/or technology and identifying areas of improvement to help safeguard the firm, this role is for you. Using cutting-edge audit technology, data, methodology and sound judgement, we bring a systematic and disciplined approach to evaluating and improving the effectiveness of governance, risk management and controls. As a Full-time …",2026-09-08T13:00:13Z,Adzuna::API::Response::Job,5875785902,1,2027 Internal Audit Analyst Program - Full Time Analyst Opportunity,33.060381,82286.45,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkwMiIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.bKff9kfyo3mxRn1KFKwYwJwqxbR2Su87UWPQFD8cJKI,https://www.adzuna.com/details/5875785902?utm_medium=api&utm_source=abfa41a4,82286.45,-96.733343,"['US', 'Texas', 'Collin County', 'Plano']","Plano, Collin County",Adzuna::API::Response::Location,JPMorgan Chase & Co.,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,,
"The Business Transformation Office (BTO) leads critical change initiatives that create tangible value for clients and advisors in the Wealth Management business. Our programs are sponsored by senior executives and are aligned with key business priorities. The team collaborates with Senior Management, Front Office Advisors, Product Specialists, Legal, Technology, and Marketing to implement complex, transformational change. As a Senior Associate within the WM Business Transformation team, you wil…",2026-09-08T12:59:55Z,Adzuna::API::Response::Job,5875785900,1,"J.P. Morgan Wealth Management - Senior Associate, Business Transformation Project Manager",,136201.52,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkwMCIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.3MTiIQScnJHYNqz8RF2JuGIPut4dbXxdLJXHOPPOZZU,https://www.adzuna.com/details/5875785900?utm_medium=api&utm_source=abfa41a4,136201.52,,"['US', 'New York', 'New York City']","New York City, New York",Adzuna::API::Response::Location,JPMorgan Chase & Co.,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,,
"At J.P. Morgan Chase, we have an enthusiasm for helping our clients, taking care of our employees, building relationships, and delivering extraordinary customer service while maintaining a strong commitment to diversity and inclusion. Using a broad investment product and thought leadership platform along with cutting edge digital technology, you will be front and center representing our brand and interacting with our clients to offer the best investment solutions to meet their financial needs. …",2026-09-08T12:59:54Z,Adzuna::API::Response::Job,5875785899,1,"J.P. Morgan Wealth Management - Private Client Advisor - Deerfield, IL",42.171137,75683.89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTg5OSIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.6CCxQTk6pw0t5xJcw2vNDNLVVJh9W2jZzQwBCefP28s,https://www.adzuna.com/details/5875785899?utm_medium=api&utm_source=abfa41a4,75683.89,-87.844512,"['US', 'Illinois', 'Lake County', 'Deerfield']","Deerfield, Lake County",Adzuna::API::Response::Location,JPMorgan Chase & Co.,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,,
