description,longitude,adref,id,redirect_url,salary_max,salary_is_predicted,latitude,created,__CLASS__,salary_min,title,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,location.area,location.__CLASS__,location.display_name,contract_time,contract_type
"Vivian is looking for Travel Physical Therapist Therapys in Westminster, Colorado paying up to $2,059/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",-105.038244,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc0NiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.ea-bPmi1-sTIOED6sTGr-ulqXJgJLfRfKI5-Pq8f63c,5689879746,https://www.adzuna.com/land/ad/5689879746?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=3453244388FD3FFE41918B85262CBDDBC5E107B1,107068.0,0,39.872777,2026-04-04T09:54:09Z,Adzuna::API::Response::Job,0.0,"Travel Physical Therapist - Paying up to $2,059/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'Colorado', 'Adams County', 'Westminster']",Adzuna::API::Response::Location,"Westminster, Adams County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-121.618571,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc0MiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.NAR70r_5X0FNeAkfovwIyMuAPpYT545s56NNWENzghA,5689879742,https://www.adzuna.com/land/ad/5689879742?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=034D4E8F9AF0CD89E7B914E63A4A15137AE17C44,75882.71,1,38.786012,2026-04-04T09:54:07Z,Adzuna::API::Response::Job,75882.71,"Border Patrol Agent - Law Enforcement Career, $20,000 Recruitment Incentive",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'California', 'Sutter County', 'Verona']",Adzuna::API::Response::Location,"Verona, Sutter County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-93.847129,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzQwIn0.kBqdFLqG1Y32lvKCUCosMYYcNBUGwktunCbBKg8iN7o,5689879740,https://www.adzuna.com/land/ad/5689879740?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=2CC617AB3268F9A1DDF8844E20F29C19D7C6F6D0,69084.81,1,33.945669,2026-04-04T09:54:06Z,Adzuna::API::Response::Job,69084.81,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Arkansas', 'Howard County', 'Nashville']",Adzuna::API::Response::Location,"Nashville, Howard County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-117.396162,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzMxIn0.fQFcC12jg2V1W7EpqOnefvIqqsok0zlqctzafFFyR8U,5689879731,https://www.adzuna.com/land/ad/5689879731?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=A91C1325F2FE18B2F6BDF21D16F7A2D5AA5C9189,71765.7,1,33.953355,2026-04-04T09:54:05Z,Adzuna::API::Response::Job,71765.7,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'California', 'Riverside County', 'Riverside']",Adzuna::API::Response::Location,"Riverside, Riverside County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-90.015112,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzM1In0.iRfXz_u_wygAJVzfkvLvTy2D-gldpzbuiK-UIx83gyU,5689879735,https://www.adzuna.com/land/ad/5689879735?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=3D4289BD97991DEB677F7DEB894B122E0658062D,78027.55,1,41.420868,2026-04-04T09:54:05Z,Adzuna::API::Response::Job,78027.55,"Entry-Level Border Patrol Agent - $20,000 Sign-On Bonus",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Illinois', 'Henry County', 'Atkinson']",Adzuna::API::Response::Location,"Atkinson, Henry County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-77.093858,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTczNiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.t0BFn2vNahhiAe1pN038PORrTBBr1X5cPdVUJ7sG4WE,5689879736,https://www.adzuna.com/land/ad/5689879736?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=9F617F15E90B20E275644715FD0DB3C70BA0B2AA,68710.23,1,38.884513,2026-04-04T09:54:05Z,Adzuna::API::Response::Job,68710.23,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Virginia', 'Arlington County', 'Arlington']",Adzuna::API::Response::Location,"Arlington, Arlington County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-72.532314,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTczMiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.ZMfdLJC9zHay5Z2pb8T3iMsmft3oWwL4W8eQ4gHWRiA,5689879732,https://www.adzuna.com/land/ad/5689879732?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=7CF2D50C49F666F05880071391C33A2E1781715B,77121.52,1,41.759927,2026-04-04T09:54:05Z,Adzuna::API::Response::Job,77121.52,"Border Patrol Agent - Law Enforcement Career, $20,000 Recruitment Incentive",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Connecticut', 'Hartford County', 'Manchester']",Adzuna::API::Response::Location,"Manchester, Hartford County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-88.403632,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzI3In0.j1aYs_cba0h6I6HAPTj-30sPgQnUQ6TInkxEqpv5Kdw,5689879727,https://www.adzuna.com/land/ad/5689879727?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=A8BC8AD16BA7DDABAA4A65879310AFE9162D0260,76077.78,1,38.442563,2026-04-04T09:54:00Z,Adzuna::API::Response::Job,76077.78,"Entry-Level Border Patrol Agent - $20,000 Sign-On Bonus",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Illinois', 'Wayne County', 'Jeffersonville']",Adzuna::API::Response::Location,"Jeffersonville, Wayne County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-81.964391,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTcyNiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.DbbAA_fRbRrTBMgPd4knuyr2OPoGXQja49oq76UlHZg,5689879726,https://www.adzuna.com/land/ad/5689879726?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=FC5C4AC225248A9234900A14143F1F838F3FFE1D,80171.05,1,33.457703,2026-04-04T09:54:00Z,Adzuna::API::Response::Job,80171.05,"Experienced Border Patrol Agent - Up to $20,000 Recruitment Incentive",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Georgia', 'Richmond County', 'Augusta']",Adzuna::API::Response::Location,"Augusta, Richmond County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-73.248246,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTcyNSIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.x8BJBW2gQ6mlMl3bJpPvcQDWhV03bz0XX4wmTJP_8zM,5689879725,https://www.adzuna.com/land/ad/5689879725?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=CDD675EEF53651007FE9ACC51B791DC5ED7300C7,70646.47,1,42.304142,2026-04-04T09:53:59Z,Adzuna::API::Response::Job,70646.47,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Massachusetts', 'Berkshire County', 'Lee']",Adzuna::API::Response::Location,"Lee, Berkshire County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-94.247152,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTcyMyIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.lYBanGvvXXGZNPKO03qpa-G4ppoUUK04RZqLIPwX0Zg,5689879723,https://www.adzuna.com/land/ad/5689879723?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=C1FA0846126E776199EEB70D58519224CC9861B9,69265.31,1,36.042025,2026-04-04T09:53:59Z,Adzuna::API::Response::Job,69265.31,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Arkansas', 'Washington County', 'Farmington']",Adzuna::API::Response::Location,"Farmington, Washington County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-104.016701,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTcyMSIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.BNbgkP38jgLGcbPbe6cMuPgRKCno42O37mjbgMZmc1s,5689879721,https://www.adzuna.com/land/ad/5689879721?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=BC05CC2A2CBC05003D60C8BC4279A5E534B45D41,76890.33,1,37.639111,2026-04-04T09:53:58Z,Adzuna::API::Response::Job,76890.33,"Border Patrol Agent - Law Enforcement Career, $20,000 Recruitment Incentive",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Colorado', 'Las Animas County', 'Delhi']",Adzuna::API::Response::Location,"Delhi, Las Animas County",,
