contract_type,description,created,latitude,redirect_url,title,salary_min,longitude,__CLASS__,salary_max,salary_is_predicted,contract_time,id,adref,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.label,category.__CLASS__,category.tag
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.227617,https://www.adzuna.com/details/5709415692?utm_medium=api&utm_source=abfa41a4,Janitor,36739.02,-118.442425,Adzuna::API::Response::Job,36739.02,1,,5709415692,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY5MiIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.wk-Q7_Z7SS0N_lOU46ft9fa3WFyXN6TsJqfF-sSrIBs,"['US', 'California', 'Los Angeles County', 'Panorama City']",Adzuna::API::Response::Location,"Panorama City, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Job Title Prep Cook (Corporate Dining & Catering Support) – San Diego Company The Party Staff, Inc. Location Assignments take place within approximately a 25-mile radius of our Mission Valley office, supporting clients across: North San Diego: Carlsbad, Encinitas, Vista, Escondido Central San Diego: La Jolla, University City, Clairemont, Mira Mesa, Sorrento Valley, Carmel Valley, Del Mar, Rancho Peñasquitos South San Diego: Mission Valley, Downtown San Diego, Hillcrest, North Park, South Park, …",2026-04-24T10:46:31Z,32.726967,https://www.adzuna.com/details/5709415695?utm_medium=api&utm_source=abfa41a4,San Diego - Cook & Prep-Cook,38515.2,-117.164709,Adzuna::API::Response::Job,38515.2,1,part_time,5709415695,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY5NSIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.aTNl9XVomHpJ9kebf7_r4LjVyD0w7Up29Mca07DaZz4,"['US', 'California', 'San Diego County', 'San Diego']",Adzuna::API::Response::Location,"San Diego, San Diego County",The Party Staff,Adzuna::API::Response::Company,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.142759,https://www.adzuna.com/details/5709415686?utm_medium=api&utm_source=abfa41a4,Janitor,35432.73,-118.138601,Adzuna::API::Response::Job,35432.73,1,,5709415686,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1Njg2In0.ej8H765GiH3XKY_F0b_lfjqsZSgjNzqi8lzQqR6gujw,"['US', 'California', 'Los Angeles County', 'Pasadena']",Adzuna::API::Response::Location,"Pasadena, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,33.953792,https://www.adzuna.com/details/5709415679?utm_medium=api&utm_source=abfa41a4,Janitor,33973.67,-118.352039,Adzuna::API::Response::Job,33973.67,1,,5709415679,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1Njc5In0.ySK2E3rjZOoCu99sWZHkRjeXegybNrSP_WUHV4q1hA0,"['US', 'California', 'Los Angeles County', 'Inglewood']",Adzuna::API::Response::Location,"Inglewood, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Join The Party Staff: Experienced Hospitality Bartenders Wanted Love events & crave flexibility? The Party Staff seeks experienced bartenders for high-profile events in town. We offer: More work than competitors: Work with a variety of clients and venues. Flexible schedule: Choose when & where you work with our easy online system. Pate Rate: $19.00 to $20.00 per hour DOE Great team environment: Work alongside other talented professionals. Boost your resume: Gain experience with top caterers, ho…",2026-04-24T10:46:31Z,,https://www.adzuna.com/details/5709415696?utm_medium=api&utm_source=abfa41a4,Bartender,48232.33,,Adzuna::API::Response::Job,48232.33,1,part_time,5709415696,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1Njk2In0.773Ii5uiDqXWvN4CGykkL4S92GCVlctFCm_rwCXScwE,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",The Party Staff,Adzuna::API::Response::Company,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,34.148972,https://www.adzuna.com/details/5709415670?utm_medium=api&utm_source=abfa41a4,Janitor,34575.98,-118.451357,Adzuna::API::Response::Job,34575.98,1,,5709415670,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjcwIn0.h5DxD3D8NlO3K3QF20k2uEG2vk3DTaOWSQMpZN6sPU4,"['US', 'California', 'Los Angeles County', 'Sherman Oaks']",Adzuna::API::Response::Location,"Sherman Oaks, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,38.339637,https://www.adzuna.com/details/5709415666?utm_medium=api&utm_source=abfa41a4,Janitor,34744.69,-122.701098,Adzuna::API::Response::Job,34744.69,1,,5709415666,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjY2In0.iGweAByEEx93TD8R627_BayVeSkTyID2jfDvWrBM8Pc,"['US', 'California', 'Sonoma County', 'Rohnert Park']",Adzuna::API::Response::Location,"Rohnert Park, Sonoma County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,,https://www.adzuna.com/details/5709415674?utm_medium=api&utm_source=abfa41a4,Janitor,34410.84,,Adzuna::API::Response::Job,34410.84,1,,5709415674,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1Njc0In0.s4vjqw5zwRgMiHANqQ11KKg5XiqEjIUweciL5EEADC0,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,,https://www.adzuna.com/details/5709415672?utm_medium=api&utm_source=abfa41a4,Janitor,34410.84,,Adzuna::API::Response::Job,34410.84,1,,5709415672,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY3MiIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.ndJ-V8eFwF_q1c7VOwGdJikjtB95BndUx6FdRXpTCA0,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,,https://www.adzuna.com/details/5709415676?utm_medium=api&utm_source=abfa41a4,Janitor,34410.84,,Adzuna::API::Response::Job,34410.84,1,,5709415676,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY3NiIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.wOivziWkKA_hpGA4IoTARmGIRfg1kqQ1d5qwBaAYTnw,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,,https://www.adzuna.com/details/5709415668?utm_medium=api&utm_source=abfa41a4,Janitor,34410.84,,Adzuna::API::Response::Job,34410.84,1,,5709415668,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjY4In0.n1TnD2hSTgLjuXejxV75s-uDfczYHuamDG2EAzb5OIU,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,34.148972,https://www.adzuna.com/details/5709415671?utm_medium=api&utm_source=abfa41a4,Janitor,34575.98,-118.451357,Adzuna::API::Response::Job,34575.98,1,,5709415671,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY3MSIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.no1DLuPj1Q-w1JyrXw0bpFKCcni-vC22wVwrswuwNZ4,"['US', 'California', 'Los Angeles County', 'Sherman Oaks']",Adzuna::API::Response::Location,"Sherman Oaks, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,,https://www.adzuna.com/details/5709415669?utm_medium=api&utm_source=abfa41a4,Janitor,34410.84,,Adzuna::API::Response::Job,34410.84,1,,5709415669,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY2OSIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.pwWdOFvqcgc0EwLYGxYokXEsHG5mI26raw8EFbcY0C0,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:30Z,33.719281,https://www.adzuna.com/details/5709415673?utm_medium=api&utm_source=abfa41a4,Janitor,35922.07,-116.218805,Adzuna::API::Response::Job,35922.07,1,,5709415673,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjczIn0.wyKMyz01RuWOHYzxNzNFeSgGsDSPFTs1Xh2unHFxfdQ,"['US', 'California', 'Riverside County', 'Indio']",Adzuna::API::Response::Location,"Indio, Riverside County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
