description,latitude,created,redirect_url,__CLASS__,longitude,adref,salary_min,salary_is_predicted,id,salary_max,title,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
"Posting Date 07/10/2026 28062 Baxter Rd, Murrieta, California, 92563-1401, United States of America Make a meaningful impact in acute care nephrology. DaVita is seeking an RN to provide dialysis care in a hospital setting for patients with end-stage renal disease and chronic kidney conditions. This is a fast-paced, highly collaborative role where you’ll work directly with patients in ICU, CCU, ED, and other acute care units. What You’ll Do: Deliver inpatient dialysis therapies, including hemodi…",34.053138,2026-07-12T10:20:04Z,https://www.adzuna.com/details/5797979289?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-117.251523,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTI4OSIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.hIIOIYDaYvr2Vxa6bJWkHpALuCuCdnhyVqBxcojl-A4,87360.0,0,5797979289,120640.0,Registered Nurse,"['US', 'California', 'San Bernardino County', 'Loma Linda']",Adzuna::API::Response::Location,"Loma Linda, San Bernardino County",Adzuna::API::Response::Company,DaVita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Job Summary: We are looking for an LPN to work in a private office setting which requires specialized knowledge, clinical judgment and nursing skills. The LPN is part of a team using patient care skills to meet established practice guidelines, office policies and regulatory standards, under supervision of the physician assistant, nurse practitioner or physician. Essential Job Functions: Places patients in the exam room and documents for physician the reason for visit. Measures patients height, …",40.935547,2026-07-12T10:19:37Z,https://www.adzuna.com/details/5797979272?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-73.118882,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTI3MiIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.2_C1YsJJ8QOayoCE-SdhJ8ANCm4-VdOf1UE9hHjp-M0,56118.0,0,5797979272,70075.0,LPN,"['US', 'New York', 'Suffolk County', 'Setauket']",Adzuna::API::Response::Location,"Setauket, Suffolk County",Adzuna::API::Response::Company,"Stony Brook Community Medical, PC",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
"UniFirst is seeking an Outside Sales Representative to drive new business growth within our Uniform Rental & Facility Services division. In this field-based role, you will prospect and qualify industrial and commercial accounts, conduct needs analyses, present tailored uniform and facility service programs, and close new agreements. You’ll manage the full sales cycle—from lead generation and territory planning to contract negotiation and onboarding—while partnering closely with service and oper…",40.722157,2026-07-12T10:19:35Z,https://www.adzuna.com/land/ad/5797979271?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=2656901CD8BA789D1FC042E13230668A3DA71AD0,Adzuna::API::Response::Job,-74.201776,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MjcxIn0.SUYw_-hGkfBQFWHECjVZ4ZOwjRY07QhgaSf3ByrcdCA,75000.0,0,5797979271,105000.0,Residential Outside Sales Representative,"['US', 'New Jersey', 'Essex County', 'Weequahic']",Adzuna::API::Response::Location,"Weequahic, Essex County",Adzuna::API::Response::Company,UniFirst,Adzuna::API::Response::Category,Sales Jobs,sales-jobs,,
"Who We Are At Academy Sports  Outdoors our vision is to be the best sports  outdoors retailer in the country — but what truly sets us apart is our people. We’re a passionate, purpose-driven team that’s as committed to each other as we are to our customers. We’ve spent over 80 years building a culture that puts people first. We believe in creating opportunities for growth, fostering meaningful connections, and supporting every Team Member’s journey. What fuels us? Our belief in the power of fun.…",32.687661,2026-07-12T10:18:36Z,https://www.adzuna.com/details/5797979248?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-83.34706,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTI0OCIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.AH1peEULLxBDdhU8hnrdcd9aeEpTShsM82DeFwDlk00,28848.4,1,5797979248,28848.4,Clerk DC - Hardgood Mezz - 2nd Shift,"['US', 'Georgia', 'Twiggs County', 'Jeffersonville']",Adzuna::API::Response::Location,"Jeffersonville, Twiggs County",Adzuna::API::Response::Company,Academy,Adzuna::API::Response::Category,"Energy, Oil & Gas Jobs",energy-oil-gas-jobs,full_time,
"Location: 9136 Wilkinson Blvd, Charlotte, North Carolina 28214 United States of America START TODAY, GET PAID TODAY! New hires eligible for BONUS! Are you organized and proactive? Do you have an eye for detail? Facility Housekeepers set the stage for U-Haul’s exceptional service by keeping the U-Haul facility clean and inviting. Start your career at U-Haul and join an exceptional, supportive team. U-Haul Offers Facility Housekeepers: Career stability Opportunities for advancement Valuable on-th…",35.232678,2026-07-12T10:18:35Z,https://www.adzuna.com/details/5797979247?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-80.846082,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MjQ3In0.QfcugU-whoyfGssGtKLH10Kkky0_5Ep7b8qAx3si2iw,31206.87,1,5797979247,31206.87,Facility Housekeeper,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",Adzuna::API::Response::Location,"Charlotte, Mecklenburg County",Adzuna::API::Response::Company,U-Haul,Adzuna::API::Response::Category,Domestic help & Cleaning Jobs,domestic-help-cleaning-jobs,,
"Supplemental Health Care is seeking a travel nurse RN Med Surg for a travel nursing job in Hilo, Hawaii. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Job Description: Supplemental Health Care is hiring Medical Surgical Registered Nurses for contract assignments at partnering hospitals in Hilo, Hawaii. Whether you’re looking to travel or stay local, we’re committed to helping Med Su…",19.714222,2026-07-12T10:18:28Z,https://www.adzuna.com/land/ad/5797979239?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=FD32A70FBC25182181B90330AAAC89C136AE8359,Adzuna::API::Response::Job,-155.042589,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTIzOSIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.xeXToy97Ov3j2DmYEH1ZhX_cggkk8WGnq1TW55uwLSo,0.0,0,5797979239,84656.0,"Travel Medical-Surgical RN - $1,628 per week","['US', 'Hawaii', 'Hawaii', 'Hilo']",Adzuna::API::Response::Location,"Hilo, Hawaii",Adzuna::API::Response::Company,Supplemental Health Care,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Vivian is looking for Travel Speech Language Pathologist Therapys in Salisbury, New Hampshire paying up to $2,245/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) a…",43.387297,2026-07-12T10:18:27Z,https://www.adzuna.com/land/ad/5797979235?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=7896A5C91523FE53F31EF15C68C67C9A01222C8E,Adzuna::API::Response::Job,-71.731295,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MjM1In0.RDf7xDLCj-KL-glu0RIdAfW-DwwhOXUg0dTRtBaj7jQ,0.0,0,5797979235,116740.0,"Travel Speech Language Pathologist - Paying up to $2,245/week","['US', 'New Hampshire', 'Merrimack County', 'Salisbury']",Adzuna::API::Response::Location,"Salisbury, Merrimack County",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Vivian is looking for Travel Physical Therapy Assistant Therapys in Goldthwaite, Texas paying up to $1,684/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disc…",31.449883,2026-07-12T10:18:27Z,https://www.adzuna.com/land/ad/5797979234?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=B264873E34EC3E6A2F511BC6D474B5C61DAAEC44,Adzuna::API::Response::Job,-98.544715,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTIzNCIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.5AOSgjTja8fbcPzfZW3aQ1KwYHUr3k7QzPAUJzN_QYc,0.0,0,5797979234,87568.0,"Travel Outpatient Physical Therapy Assistant - Paying up to $1,684/week","['US', 'Texas', 'Mills County', 'Goldthwaite']",Adzuna::API::Response::Location,"Goldthwaite, Mills County",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Vivian is looking for Travel Physical Therapy Assistant Therapys in Pasco, Washington paying up to $2,176/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disco…",46.24152,2026-07-12T10:18:27Z,https://www.adzuna.com/land/ad/5797979233?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=07A504C479EB767A48C5809DD1B8E891EC6BFE6E,Adzuna::API::Response::Job,-119.13588,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTIzMyIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.V95sKKdjFyJSEGDlJxZi_6oHzVl1WpO3x9isngaM8Lo,0.0,0,5797979233,113152.0,"Travel Outpatient Physical Therapy Assistant - Paying up to $2,176/week","['US', 'Washington', 'Franklin County', 'Pasco']",Adzuna::API::Response::Location,"Pasco, Franklin County",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"We are looking for a Petroleum driver within a 50-mile radius of Zionsville, IN to deliver petroleum-based products in bulk, transport them via Semi-Truck and Trailer, and unload products at various customer locations. The position has a flexible schedule of either a Sunday to Thursday or Tuesday to Saturday. Responsibilities: Loading Petroleum products at refineries, ethanol plants, and bulk storage facilities. Unloading Petroleum products at numerous customer locations such as gas stations, a…",39.950873,2026-07-12T10:18:23Z,https://www.adzuna.com/details/5797979226?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-86.261937,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTIyNiIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.cn_TouWf3ZtOS0Ayz1h4HKgcSp6ggjNY_zvHP0hb9ZQ,97629.55,1,5797979226,97629.55,"Petroleum Transport Driver Zionsville, IN","['US', 'Indiana', 'Boone County', 'Zionsville']",Adzuna::API::Response::Location,"Zionsville, Boone County",Adzuna::API::Response::Company,Wayne Transports,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,full_time,
"Jackson Mitchell Agency Account Executive Job Overview The Jackson Mitchell Agency is seeking an Account Executive to join one of the top-performing teams in the state! You will be responsible for generating results through advising prospects on property and casualty insurance. As an Account Executive, you will play a vital role in the growth and success of our agency. Conversely, we aim to contribute to your personal growth, income, and career development while providing you an exceptional wor…",43.65708,2026-07-12T10:17:31Z,https://www.adzuna.com/land/ad/5797979195?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=8129688AFABF7147FC333BE80DD3D5644C595849,Adzuna::API::Response::Job,-93.36642,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MTk1In0.DSnyNgolXbCKG8gXQtupO9v5QOZAWDPocIJnRgdqO5w,50000.0,0,5797979195,90000.0,Account Executive,"['US', 'Minnesota', 'Freeborn County', 'Albert Lea']",Adzuna::API::Response::Location,"Albert Lea, Freeborn County",Adzuna::API::Response::Company,Jackson-Mitchell-Agency,Adzuna::API::Response::Category,Sales Jobs,sales-jobs,full_time,
"Description Job Summary: The Counselor III fulfills assigned role as a part of the treatment team, maintaining the well being of clients and integrity of the program. Major Tasks, Duties and Responsibilities • Knowledge of drug and alcohol dependency, mental health, family systems and 12-Step/recovery resources in the community. • Develop and maintain individualized records of client progress and participation in treatment including admission and discharge, individual, group, family, vocational…",33.81798,2026-07-12T10:16:54Z,https://www.adzuna.com/details/5797979158?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-118.22328,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTE1OCIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.lUlxxt-H4dNbpkoaUxf4Bei-rMD6sPdwUw0Ay08uAlE,43680.0,0,5797979158,62400.0,Counselor III,"['US', 'California', 'Los Angeles County', 'Cabrillo']",Adzuna::API::Response::Location,"Cabrillo, Los Angeles County",Adzuna::API::Response::Company,American Indian Changing Spirits,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Are you looking for a meaningful role in behavioral health and have the desire to work with an organization that puts people first? If you have a passion for helping others along their recovery journey, then we invite you to join our Crestwood family! For more than 50 years Crestwood has been committed to creating innovative recovery programs and developing compassionate communities that support each client in their journey. Our model of care focuses on a personal and self-directed process that…",38.57574,2026-07-12T10:16:54Z,https://www.adzuna.com/land/ad/5797979157?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=D19640262A2DE817F972FB5CAC640DB1BC08AED8,Adzuna::API::Response::Job,-122.44998,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTE1NyIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.T0TN62_q5QID0Tn21i9x_dFkVl4yphBiS6y1vo_K6MQ,104000.0,0,5797979157,120556.0,Registered Nurse | RN,"['US', 'California', 'Napa County', 'Angwin']",Adzuna::API::Response::Location,"Angwin, Napa County",Adzuna::API::Response::Company,Crestwood Behavioral Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"SUMMARY Position Type: Non-exempt, full-time or part-time, hourly role. Scope of Role: Responsible for providing direct support within a single program or unit within a program, typically supporting 4 - 6 individuals in residential settings, or up to 10 individuals in periodic programs. Key Responsibilities: Deliver support per individual service/program plans, including socialization, health maintenance, medication administration, skill/behavioral development. Assist with daily activities: Per…",33.987339,2026-07-12T10:16:52Z,https://www.adzuna.com/details/5797979152?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-81.036821,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MTUyIn0.nC9Bd5SJE1_GlI7cDraIPBaYV2LmgF9XRgkfF5eiXSk,36067.62,1,5797979152,36067.62,Caregiver,"['US', 'South Carolina', 'Richland County', 'Columbia']",Adzuna::API::Response::Location,"Columbia, Richland County",Adzuna::API::Response::Company,Sevita,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,part_time,
