description,created,salary_min,redirect_url,longitude,salary_max,adref,salary_is_predicted,__CLASS__,latitude,title,id,category.label,category.tag,category.__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__,contract_time,contract_type
"Cyber Security Analyst Healthcare (1 2 Years Experience) Company : AaraTech Inc About the Role AaraTech Inc is seeking a Cyber Security Analyst Healthcare to support security operations, threat monitoring, and vulnerability management in a secure healthcare environment. This role focuses on protecting sensitive patient data, ensuring compliance, and responding to security incidents across cloud and on-prem systems. Key Responsibilities Monitor and analyze security alerts and incidents Assist in…",2026-04-09T10:50:19Z,75085.1,https://www.adzuna.com/details/5694595870?utm_medium=api&utm_source=abfa41a4,-75.807437,75085.1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODcwIn0.aPnR7ObrfIGD9RSISYGkWeYtks076gxWofVCSqTdVtQ,1,Adzuna::API::Response::Job,39.530946,CYBER SECURITY,5694595870,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,AaraTechnologies Inc,"['US', 'Maryland', 'Cecil County', 'Chesapeake City']","Chesapeake City, Cecil County",Adzuna::API::Response::Location,,
"Only W2, No C2C Title: Program Manager Enterprise Epic Refuel Location: Dallas, TX Fully onsite Duration: 18 Months Contract Video Interviews Job Description: Program Manager, Enterprise Epic Refuel Qualifications Deep knowledge of Epic refuel methodology, Nova Notes, integrated testing, and Epic governance best practices OCM expertise with demonstrated success changing long-standing clinical culture and driving adoption in legacy Epic environments Strong stakeholder skills: credible with C-sui…",2026-04-09T10:50:19Z,124043.77,https://www.adzuna.com/details/5694595867?utm_medium=api&utm_source=abfa41a4,-96.765058,124043.77,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2NyIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.c0dLf2vQ5D3bGdhHx8_RPulK2soEOUGdbh6gc3nhIe8,1,Adzuna::API::Response::Job,32.760168,Program Manager with Epic Refuel Experience,5694595867,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Innovative Information Technologies, Inc","['US', 'Texas', 'Dallas', 'Highland Park']","Highland Park, Dallas",Adzuna::API::Response::Location,,
"Job Title: Senior MarkLogic Developer (API and Module Services) Location : Remote Status : Full Time Yakshna Solutions, Inc., (YSI) is a CMMI Level 3 assessed, ISO 9001, 20000:1, 27001 certified, woman-owned small business enterprises, headquartered in Herndon, Virginia, USA. YSI provides professional IT solutions and services to business corporations and government organizations. YSI is committed to serve its business communities as a leading IT vendor providing innovative, quality, and cost-e…",2026-04-09T10:50:19Z,65100.27,https://www.adzuna.com/details/5694595857?utm_medium=api&utm_source=abfa41a4,,65100.27,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg1NyIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.P7cbDL9mB7EUotobbDLbzgA2jf7kpjDSgASLghdEx_E,1,Adzuna::API::Response::Job,,.Net Developer- Marklogic Exp Needed,5694595857,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Yakshna Solutions, Inc.",['US'],US,Adzuna::API::Response::Location,,
"Hybrid: Hybrid Duration: Contract to Hire Interview Process: - 1st: Zoom - 2nd: Onsite Bachelor's Degree: Yes Industry Background: Plus Years of experience: 2 - 5 years exp Shifts: Morning: 8am - 5:00pm Evening: 12:30 - 8:am o Weekend: OnCall (Remote) Must: Linux and Unix Hands on Experience! o Needs to be comfortable troubleshooting at OS Level Production Support Exp o Incident Handling, Debugging live systems and on-call experience Scripting/Automation experience within Python o Not a Softwar…",2026-04-09T10:50:19Z,151821.67,https://www.adzuna.com/details/5694595868?utm_medium=api&utm_source=abfa41a4,-111.95136,151821.67,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODY4In0.3r7REW13zpmlVsvzXshdIUexLdNWNJo80URxp9m_xWw,1,Adzuna::API::Response::Job,40.5582,Production Support Analyst,5694595868,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,SANS,"['US', 'Utah', 'Salt Lake County', 'Riverton']","Riverton, Salt Lake County",Adzuna::API::Response::Location,,
"Job Title : SAP Commissions Consultant Location : Charlotte, NC 28217 (Onsite) Duration : 12 Months Please share more profiles at the earliest with the following skills and experience. Proficiency in Crystal Reports software, including formula creation and report layout customization Have experience in Callidus to configure and publish reports Working experience on SAP Commissions",2026-04-09T10:50:19Z,98004.37,https://www.adzuna.com/details/5694595862?utm_medium=api&utm_source=abfa41a4,-80.8432,98004.37,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODYyIn0.-zLVdsl3bhyK6vSzRj-p28AVtooX4iUZNcRqrCOezHc,1,Adzuna::API::Response::Job,35.2268,SAP Commissions Consultant,5694595862,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TechSpace Solutions Inc.,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']","Charlotte, Mecklenburg County",Adzuna::API::Response::Location,,
"Role: Senior Robotics Data Collection Engineer Location: Warren, MI (Onsite from Day 1) Job Type: W2 Contract Main Skills: Senior Robotics Data Collection Engineer (MLE, Python, Cloud exp, Linux) Key Responsibilities: Collect high-quality robot telemetry, sensor, and visual data from manufacturing robotic systems in lab and production-like environments. Operate and monitor robotic systems, GELLO teleop interfaces, and data collection hardware. Organize, label, and validate data according to est…",2026-04-09T10:50:19Z,168598.02,https://www.adzuna.com/details/5694595860?utm_medium=api&utm_source=abfa41a4,-83.058447,168598.02,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2MCIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.Q0FuAwAUSo9N4_KJjg5zhBIc6cJ5ExjddNCSipb47yU,1,Adzuna::API::Response::Job,42.467501,Senior Robotics Data Collection Engineer - Only W2,5694595860,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Info Dinamica Inc,"['US', 'Michigan', 'Macomb County', 'Center Line']","Center Line, Macomb County",Adzuna::API::Response::Location,,
"Job Title: Technical Support Analyst (Flexible/Split Shift) Location: Remote Employment Type: Long-Term Contract (12 Months) Schedule: Rotating/Flex Shifts (4:00 PM – 1:00 AM OR 10:30 PM – 7:30 AM) Role Overview We are looking for a tech-savvy, adaptable Technical Support Analyst to join our team during a major system overhaul and transition to SAP. This is a critical ""bridge"" role designed to provide Level 1 support to our 24/7 manufacturing plants and corporate associates. This position is id…",2026-04-09T10:50:19Z,57528.91,https://www.adzuna.com/details/5694595856?utm_medium=api&utm_source=abfa41a4,,57528.91,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg1NiIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.cBr6CPLbBxJAWdQS9sQ2Yypen8ZIucg2GeSGc6n0jsw,1,Adzuna::API::Response::Job,,Technical Support Analyst (Flex/Split Shift),5694595856,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,System One,['US'],US,Adzuna::API::Response::Location,,
"Job Title: EDI Analyst (Hybrid Onsite) Location: Richmond, VA Duration: 6 months Pay Rate: $75/hr on C2C / 1099 all inclusive (OR) $70/hr on W2 Interview Process: Both Web Cam and In Person Interview Note: Hybrid work schedule, the selected resource has to be onsite 3 days in a week. Local RVA candidate preferred Job Description The Electronic Data Interchange (EDI) Interface Systems Analyst will play a key role in coordinating with multiple Medicaid Enterprise System (MES) vendors on managing …",2026-04-09T10:50:19Z,122468.66,https://www.adzuna.com/details/5694595869?utm_medium=api&utm_source=abfa41a4,-77.45,122468.66,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2OSIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.WW-kBPl-QkcoxohDbF7zbg2_71tw2gRiwzKyfavkTgI,1,Adzuna::API::Response::Job,37.56,EDI Analyst (Hybrid Onsite),5694595869,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,GSK Solutions Inc.,"['US', 'Virginia', 'Richmond County', 'Richmond']","Richmond, Richmond County",Adzuna::API::Response::Location,,
"Required Skills • Expert Figma skills (components, recipes, design systems, Make) • Up-to-date with latest Figma features • Low/mid and high-fidelity visuals • Prototyping • IA flows and experience flow diagrams • Excellent communication • Self-starter • Knowledge of equipment management or adjacent industry (airlines, mapping apps, Oil & Gas, Fintech, etc.) • Hybrid eligible (2-3 days/week within 50 miles/1 hour of office) • No 100% remote candidates Job Responsibilities • Use design processes…",2026-04-09T10:50:19Z,102996.56,https://www.adzuna.com/details/5694595861?utm_medium=api&utm_source=abfa41a4,-105.059218,102996.56,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2MSIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.mtwZLW5DTMBvHqHmCaa9YSv_H6YcE-GAFC4UfB2ll_w,1,Adzuna::API::Response::Job,39.924789,Senior UX UI Designer,5694595861,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Medinext Global LLC,"['US', 'Colorado', 'Boulder County', 'Lafayette']","Lafayette, Boulder County",Adzuna::API::Response::Location,,
"Assertive Professionals is seeking a Open Source Collection Specialist supporting our National Security customer in Washington, DC. This is a proposed position, we are offering a $5,000 sign-on bonus to qualified candidates that sign a Letter of Commitment before 11/9/25. This is a great opportunity to work for an employee-centric, fast-growing small business. We offer an excellent benefits package, including PTO, 401k Match at 5%, Profit Sharing, Company paid Life Insurance, Dental, Vision, ST…",2026-04-09T10:50:07Z,74001.43,https://www.adzuna.com/land/ad/5694595848?se=MGF-lSQ08RGPyaX1Fj_fyg&utm_medium=api&utm_source=abfa41a4&v=358314513C1186799327AAE51F26FAC3583E57F2,-77.017972,74001.43,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg0OCIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.rclwS7N1M6tKecJg5lPQUYX4oem6FgihKYwOXs_tf0s,1,Adzuna::API::Response::Job,38.908569,All Source Intelligence Analyst - Open Source Collection Special with Security Clearance,5694595848,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Assertive Professionals,"['US', 'Washington, D.C.']","Washington, D.C., US",Adzuna::API::Response::Location,,
"We only accept local candidates (New York) Job Title: Post-Quantum Cryptography (PQC) Consultant Job Experience Level: Senior (10 Years) Work Location Expectations: Hybrid New York, NY Term: 6 Months Description: Supports enterprise readiness for post-quantum cryptography by identifying cryptographic risk, inventorying quantum-vulnerable algorithms, and enabling a structured transition to quantum-resistant cryptography across security, infrastructure, and application environments. Key Responsib…",2026-04-09T10:50:00Z,128853.31,https://www.adzuna.com/details/5694595838?utm_medium=api&utm_source=abfa41a4,-73.97528,128853.31,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTgzOCIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.SqreB287WHd6oBNHFGmg77J1kzfbJ2vPVFf047VdTRA,1,Adzuna::API::Response::Job,40.75284,Technical Analyst at a Major Japanese Bank,5694595838,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"NSD International, Inc.","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']","Grand Central, Manhattan",Adzuna::API::Response::Location,,
"APN Consulting, Inc. is a progressive IT staffing and services company offering innovative business solutions to improve client business outcomes. We focus on high impact technology solutions in ServiceNow, Fullstack, Cloud & Data, and AI / ML. Due to our globally expanding service offerings we are seeking top-talent to join our teams and grow with us. Direct Client Requirement Role: Data & AI Sr. Project Manager Location: US remote Duration: 6 month contract Summary of Position We are seeking …",2026-04-09T10:50:00Z,137065.56,https://www.adzuna.com/details/5694595837?utm_medium=api&utm_source=abfa41a4,-73.97528,137065.56,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODM3In0.GzfHSxEXFhe3bFT2qkeZldKGf81DloyH9k_hpxFOjAQ,1,Adzuna::API::Response::Job,40.75284,Data & AI Sr. Project Manager,5694595837,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,APN Consulting Inc,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']","Grand Central, Manhattan",Adzuna::API::Response::Location,,
"TECHNOGEN, Inc. is a Proven Leader in providing full IT Services, Software Development and Solutions for 15 years. TECHNOGEN is a Small & Woman Owned Minority Business with GSA Advantage Certification. We have offices in VA; MD & Offshore development centers in India. We have successfully executed 100 projects for clients ranging from small business and non-profits to Fortune 50 companies and federal, state and local agencies. Description: New York City, NY (Hybrid Onsite) Local candidates only…",2026-04-09T10:50:00Z,177185.81,https://www.adzuna.com/details/5694595839?utm_medium=api&utm_source=abfa41a4,-73.97528,177185.81,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODM5In0.n9bFQwpQrTFsJ2jhDUGyx7ZCZd3JK7BaJcCQ-0pzlQs,1,Adzuna::API::Response::Job,40.75284,Senior Full Stack Developer (Java & React with Infra Automation),5694595839,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Technogen, Inc.","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']","Grand Central, Manhattan",Adzuna::API::Response::Location,,
"Key Responsibilities: Our customers are looking for differentiating their businesses by leveraging Data as a strategic asset. You goal would be to engage customers in envisioning and building creative modern data solution such as cloud native Data platform implementation, BI and Analytics solutions. Collaborating with customer stakeholders, IT leadership, Architecture leadership to develop modern data solution and architecture, especially for cloud native Data platforms solution architecture us…",2026-04-09T10:49:59Z,140383.7,https://www.adzuna.com/details/5694595821?utm_medium=api&utm_source=abfa41a4,-80.084609,140383.7,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODIxIn0.uvRPQvIS8he1OTIw6RF0TIM7Zfn1CdJx9DkEGj5TNPA,1,Adzuna::API::Response::Job,42.123253,AWS Data Lead,5694595821,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Hadiamondstar Software Solutions LLC,"['US', 'Pennsylvania', 'Erie County', 'South Erie']","South Erie, Erie County",Adzuna::API::Response::Location,,
"Assertive Professionals is seeking a Business Analyst supporting our National Security Customer in Springfield, VA. This is a proposed position. This is a great opportunity to work for an employee-centric, fast-growing small business. We offer an excellent benefits package, including PTO, 401k Match at 5%, Profit Sharing, Company paid Life Insurance, Dental, Vision, STD/LTD, and two options under a national medical plan with employee contribution.There is an additional $1,200 annual corporate b…",2026-04-09T10:49:59Z,64542.61,https://www.adzuna.com/land/ad/5694595835?se=MGF-lSQ08RGPyaX1Fj_fyg&utm_medium=api&utm_source=abfa41a4&v=5551716A90F85835CC901C6170C96AC62EBC024E,-77.187169,64542.61,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTgzNSIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.u54n__d6Jl-sysftQgXnQXmXs_TOhR6OAexBt1RK38k,1,Adzuna::API::Response::Job,38.776903,Business Analyst with Security Clearance,5694595835,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Assertive Professionals,"['US', 'Virginia', 'Fairfax County', 'West Springfield']","West Springfield, Fairfax County",Adzuna::API::Response::Location,,
"RH JBoss Enterprise Application Platform (EAP) Consultant SEC Public Trust Required! We are seeking a skilled RH JBoss EAP Consultant to support the installation, configuration, administration, and optimization of Red Hat JBoss Enterprise Application Platform environments. The ideal candidate will have strong experience in middleware technologies, application server management, and troubleshooting complex enterprise systems. Key Responsibilities: Install, configure, and maintain JBoss EAP envir…",2026-04-09T10:49:59Z,76039.77,https://www.adzuna.com/details/5694595829?utm_medium=api&utm_source=abfa41a4,,76039.77,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODI5In0.MxtT39pChX_nXvSy_lvMVo31cjCjue2cIsxteAyOv_A,1,Adzuna::API::Response::Job,,RH JBoss Enterprise Application Platform Consultant,5694595829,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Daddy Recruiter LLP,['US'],US,Adzuna::API::Response::Location,,
